Benchmark,L1_I_hit_rate,L1_D_hit_rate,L2_hit_rate
Bzip.,99.49137173993938,97.53599457720196,70.64648817423239
Bzip_Single.,99.28755576027736,97.52838909730974,70.71625382285504
Bzip_HBM.,99.3668261707814,97.5504492526996,70.57789939914409
Libquantum.,84.45762080719544,96.6836920790868,59.124533571911755
Libquantum_Single.,95.79146275331561,78.29395471061544,99.97071703640705
Libquantum_HBM.,92.72436578823982,78.25303377186289,99.96492043721376
GCC.,84.91062192445644,97.55732974118423,50.15293442936341
GCC_HBM.,87.4922811406495,97.54127187921536,50.3086477312993
GCC_Single.,91.36103751220192,98.17683138559545,49.42431847353397
Raytrace_Single.,91.82337027663846,98.37431139325403,54.708905295527266
Raytrace_HBM.,91.2337736495489,98.19231928935324,54.85896870868224
Raytrace.,91.40583324923227,98.21523188957931,54.86509147389111
Bodytrack_HBM.,99.74419925496764,99.01872880913488,95.48525154570213
Bodytrack_Single.,99.72145950696985,99.00336799493296,95.13151562412303
Bodytrack.,99.79282914106349,99.01935426397964,95.2864222181747
Ferret.,96.46197446536296,99.25111643624368,77.77462117290418
Ferret_Single.,97.86838635300141,99.28065759247299,76.89810009036869
Ferret_HBM.,87.69609495660627,97.29362313583303,58.0052549965541
Blackscholes_Single.,99.91424748973442,99.95789452960969,54.41742546921872
Blackscholes.,99.913441993335,99.95940169259596,53.258099249022095
Blackscholes_HBM.,99.91517073773531,99.95935146976893,54.11072134188137
Fluidanimate_Single.,97.22473911936879,99.75856630097947,36.521717213503244
Fluidanimate_HBM.,97.35322720865238,99.74975723158816,36.64848314095558
Fluidanimate.,97.74992502424801,99.75473225474862,36.753036019717534
