Benchmark,Total IPC,User Level IPC,Kernel Level IPC
Bzip_HBM,1.19124,1.19281,1.0066
Bzip,1.19272,1.19365,0.925971
Bzip_Single,1.19423,1.1951,0.916682
Libquantum_HBM,1.86167,1.86367,0.868944
Libquantum_Single,1.86105,1.8639,0.944888
Libquantum,0.684211,0.464548,0.729287
GCC_HBM,0.809463,1.01314,0.693423
GCC_Single,0.8486,1.00472,0.776991
GCC,0.813816,1.03299,0.68972
Raytrace,0.823591,0.569322,0.893762
Raytrace_HBM,0.82822,0.56336,0.901681
Raytrace_Single,0.843638,0.565626,0.914619
Bodytrack_Single,1.30571,1.30901,1.07095
Bodytrack_HBM,1.30868,1.31229,1.06885
Bodytrack,1.3065,1.31006,1.07319
Ferret_HBM,0.745178,0.493624,0.799723
Ferret_Single,1.2076,1.21417,0.925622
Ferret,1.20768,1.21506,0.934367
Blackscholes_HBM,0.898134,0.898497,0.86834
Blackscholes,0.898949,0.898138,0.94163
Blackscholes_Single,0.900162,0.900235,0.894888
Fluidanimate_HBM,1.30665,1.31101,1.09394
Fluidanimate,1.30472,1.30975,1.09162
Fluidanimate_Single,1.30288,1.3064,1.09652
